repayment_id,loan_id,repayment_date,amount_paid,due_date
20001,6162,2023-03-21,8329.63,2023-11-12
20002,5473,2022-04-05,3346.79,2022-11-11
20003,5553,2023-07-07,14311.47,2022-11-26
20004,5695,2023-02-24,13508.46,2023-10-19
20005,5317,2023-05-29,977.88,2022-10-13
20006,5598,2022-05-30,8648.45,2022-07-01
20007,5768,2023-07-07,11944.98,2023-04-01
20008,5886,2022-12-17,4058.18,2022-10-02
20009,5561,2022-04-26,8096.5,2022-02-06
20010,5258,2023-09-24,6386.88,2023-03-19
20011,5757,2022-08-25,3349.92,2022-02-05
20012,5123,2022-09-27,9413.69,2022-03-09
20013,5342,2022-10-18,14908.54,2023-02-14
20014,6195,2023-03-10,5796.67,2022-12-26
20015,6083,2022-01-09,8509.5,2022-05-01
20016,5260,2023-09-22,5253.89,2023-10-29
20017,5095,2023-04-20,13215.75,2023-07-10
20018,6149,2023-06-06,13036.74,2023-04-27
20019,5041,2023-06-21,3092.21,2022-10-16
20020,5254,2023-11-16,13549.26,2022-03-31
20021,5007,2022-01-11,2696.88,2022-07-31
20022,5728,2023-09-05,1883.88,2023-07-29
20023,5069,2022-11-23,9967.55,2022-03-13
20024,6105,2023-08-18,6095.61,2022-10-17
20025,5542,2022-10-03,8195.74,2023-01-02
20026,5089,2023-01-05,9962.28,2022-01-27
20027,5213,2023-05-05,1266.14,2023-02-24
20028,5834,2022-12-11,4747.82,2022-12-28
20029,5266,2023-01-03,7183.14,2023-07-19
20030,5912,2022-11-07,4365.52,2023-03-31
20031,5293,2023-08-24,1210.09,2023-09-04
20032,5333,2023-04-30,1756.81,2023-04-17
20033,6101,2022-01-15,12125.34,2023-08-14
20034,6005,2023-11-19,13715.11,2023-01-04
20035,5047,2022-01-04,2707.38,2022-11-22
20036,5622,2023-01-11,4114.3,2023-02-14
20037,5427,2023-01-04,9957.62,2023-08-25
20038,5210,2023-04-10,14336.94,2023-05-18
20039,5888,2023-06-17,4844.05,2022-01-25
20040,5154,2022-05-17,12900.6,2022-06-10
20041,5415,2022-12-29,7837.36,2022-07-14
20042,6181,2022-08-04,14370.1,2023-02-25
20043,6101,2023-01-03,2475.75,2023-11-09
20044,5769,2022-04-27,14618.25,2022-01-13
20045,5983,2022-06-28,6894.19,2023-02-11
20046,6155,2022-09-03,14317.61,2022-12-21
20047,5579,2022-05-08,7151.01,2022-09-03
20048,5740,2022-12-24,8186.19,2022-03-29
20049,5163,2022-03-19,12169.24,2023-03-15
20050,6039,2022-10-20,10978.11,2023-02-25
20051,5195,2022-03-23,9484.25,2023-10-14
20052,5542,2022-12-08,6546.21,2022-09-13
20053,5359,2022-12-04,11990.36,2022-10-03
20054,5850,2023-08-01,14249.31,2023-10-20
20055,5427,2022-04-06,642.26,2022-01-07
20056,5497,2022-05-25,9023.75,2023-05-15
20057,5828,2023-07-31,13056.72,2022-09-03
20058,5486,2023-06-05,9970.13,2022-12-12
20059,5330,2023-02-01,12112.02,2022-07-23
20060,5889,2022-12-23,13478.39,2023-04-27
20061,5991,2022-07-05,11388.79,2023-04-25
20062,6171,2023-11-01,10896.75,2022-04-04
20063,5259,2023-06-27,14488.82,2022-11-06
20064,5292,2022-05-31,13023.43,2023-06-04
20065,5143,2022-11-15,12322.98,2023-03-06
20066,5747,2023-10-30,1752.85,2022-06-19
20067,5627,2022-02-28,3965.93,2022-04-29
20068,5090,2022-01-10,8572.96,2023-10-02
20069,5720,2022-05-04,10788.62,2022-03-04
20070,6188,2022-12-22,4896.62,2022-04-27
20071,5481,2022-12-12,1853.26,2022-04-19
20072,5084,2022-08-25,5010.94,2023-05-08
20073,6101,2022-11-29,11679.92,2023-08-23
20074,5673,2022-01-17,13222.31,2023-02-21
20075,5517,2023-02-28,13737.1,2022-11-21
20076,5485,2022-11-20,5993.57,2022-08-28
20077,5782,2022-01-23,5901.81,2023-05-31
20078,5104,2023-04-04,6397.26,2023-09-10
20079,5339,2023-04-05,5949.24,2023-09-11
20080,5687,2023-06-05,10159.85,2022-09-09
20081,5900,2023-07-11,5695.69,2022-07-05
20082,5607,2023-02-25,794.99,2023-02-17
20083,5223,2023-02-07,6865.86,2023-05-19
20084,6033,2022-11-27,3750.2,2023-06-17
20085,6077,2023-04-02,917.7,2022-06-03
20086,6101,2023-04-28,7327.22,2022-08-12
20087,5503,2023-05-13,3486.34,2023-08-21
20088,5822,2022-01-27,7064.76,2023-07-07
20089,5624,2023-02-01,4527.37,2023-02-22
20090,5165,2022-07-07,9253.78,2023-04-30
20091,6051,2022-05-20,14867.72,2023-11-15
20092,6094,2023-06-05,8434.86,2023-11-03
20093,6148,2022-04-02,9879.99,2022-06-09
20094,5019,2022-03-18,13829.5,2022-02-20
20095,6046,2022-09-01,5923.01,2023-09-22
20096,5989,2023-10-29,2914.95,2022-10-07
20097,5450,2023-10-24,4600.56,2022-06-21
20098,5552,2022-03-29,6340.53,2022-11-28
20099,6072,2023-09-10,9852.76,2023-08-19
20100,5695,2022-10-21,566.53,2022-10-20
20101,5587,2022-04-05,12874.06,2022-03-07
20102,5721,2022-09-10,1603.36,2022-09-27
20103,5107,2023-07-05,13559.5,2022-12-10
20104,5776,2023-02-03,14266.8,2022-09-28
20105,6110,2022-02-23,14856.49,2022-03-02
20106,6161,2022-08-31,12237.9,2023-11-20
20107,5898,2022-04-20,2556.91,2023-09-21
20108,5336,2023-09-16,10739.42,2022-05-16
20109,5607,2023-11-17,3448.16,2022-09-16
20110,5838,2022-08-09,13508.35,2022-09-13
20111,5602,2023-07-18,5090.79,2022-11-27
20112,5403,2022-06-11,5238.54,2023-01-28
20113,5540,2022-02-04,13805.97,2023-06-28
20114,6096,2022-02-06,691.85,2022-09-11
20115,5024,2023-09-15,3312.51,2022-09-24
20116,5624,2023-01-05,6618.02,2022-01-07
20117,6080,2022-06-26,10660.46,2023-03-15
20118,5986,2023-06-05,9889.71,2023-07-05
20119,5223,2022-10-02,10206.47,2022-01-04
20120,5179,2023-09-25,13260.32,2023-06-26
20121,5800,2022-04-15,2254.94,2023-11-09
20122,5434,2022-06-05,8071.34,2022-11-03
20123,5793,2022-12-02,11019.43,2023-04-07
20124,5884,2022-01-26,9723.72,2023-07-02
20125,5492,2022-10-23,7000.55,2022-12-17
20126,5810,2023-06-21,748.16,2023-05-14
20127,5961,2022-12-21,1376.56,2022-07-30
20128,5420,2022-03-10,2224.65,2022-04-23
20129,5649,2022-11-23,5476.8,2022-04-27
20130,6188,2022-05-31,2205.98,2022-11-12
20131,5476,2023-07-31,6678.19,2023-07-17
20132,5170,2023-10-24,3090.31,2023-03-09
20133,5174,2022-11-16,11797.91,2022-01-15
20134,5470,2023-03-28,13136.57,2022-07-20
20135,5345,2023-07-24,6149.89,2022-12-13
20136,5445,2023-10-30,7914.31,2022-05-04
20137,6042,2022-04-22,14325.7,2022-06-05
20138,6094,2023-09-27,8264.86,2023-02-13
20139,5628,2023-04-07,14928.56,2022-07-27
20140,5592,2022-12-28,2560.9,2023-04-11
20141,5527,2022-07-22,13002.28,2022-06-13
20142,5456,2023-05-02,7709.44,2022-10-04
20143,5811,2023-04-25,829.35,2023-01-29
20144,5188,2022-01-04,14597.23,2022-02-19
20145,6021,2022-05-09,14493.19,2023-08-25
20146,5711,2022-01-26,6057.43,2022-05-24
20147,5529,2022-01-27,14335.06,2022-06-15
20148,5434,2022-02-11,2544.64,2022-03-08
20149,5288,2023-08-06,10361.6,2022-01-20
20150,5499,2022-03-05,3282.97,2023-09-15
20151,5303,2022-01-25,4076.38,2022-03-10
20152,5087,2022-03-13,11800.39,2023-03-30
20153,5830,2023-04-27,5971.69,2022-01-25
20154,5438,2022-09-25,603.35,2022-11-06
20155,5541,2022-04-05,6506.46,2022-01-12
20156,6046,2023-01-30,3807.01,2023-07-31
20157,5833,2022-12-30,10408.28,2023-11-25
20158,5797,2022-11-11,3319.51,2022-08-22
20159,5560,2022-04-27,12712.68,2022-05-13
20160,5762,2022-06-13,4372.85,2023-11-29
20161,5467,2023-07-31,6198.91,2023-08-14
20162,6125,2022-11-02,4821.53,2023-10-06
20163,5675,2022-07-19,9836.89,2022-10-02
20164,5685,2022-06-29,1966.87,2023-09-05
20165,6165,2022-12-24,7432.44,2022-06-01
20166,5138,2022-09-09,5349.59,2023-03-28
20167,5578,2022-10-26,13320.0,2022-08-04
20168,5710,2023-03-06,1564.48,2023-10-21
20169,5228,2022-01-04,12530.58,2022-11-06
20170,5281,2023-10-15,2931.37,2022-08-21
20171,5684,2023-11-09,1784.38,2023-05-08
20172,5828,2022-09-11,3433.68,2022-05-29
20173,5431,2023-10-27,1988.47,2022-12-03
20174,6064,2023-08-02,8054.27,2023-04-01
20175,5302,2023-07-21,14829.12,2023-04-24
20176,6110,2022-04-06,997.75,2023-05-22
20177,5533,2022-06-16,7186.36,2022-10-02
20178,5769,2022-11-27,6098.02,2022-06-30
20179,5444,2022-03-03,5424.29,2023-03-10
20180,6057,2022-06-23,5312.02,2022-05-31
20181,5260,2022-09-10,13477.68,2023-04-16
20182,5739,2023-04-06,775.15,2022-07-23
20183,5796,2023-09-16,11736.29,2023-08-15
20184,5070,2022-08-03,4167.53,2023-04-09
20185,5983,2022-08-27,6057.78,2022-11-23
20186,5481,2023-02-19,6592.17,2022-05-29
20187,6168,2023-11-06,4918.61,2022-10-04
20188,5024,2022-05-06,1856.6,2022-02-04
20189,5965,2022-09-10,2157.8,2022-08-04
20190,5746,2022-07-16,4822.9,2022-01-01
20191,5845,2023-09-26,12416.23,2023-04-13
20192,6199,2023-02-17,2452.1,2023-08-27
20193,5325,2023-04-01,11268.28,2023-04-11
20194,5798,2022-02-23,4688.61,2023-03-27
